ticket,missing_hours,duration_seconds,status,panel_rows,max_quote_staleness_seconds,exit_quote_staleness_seconds
90383944,[],92.0,INCLUDED,7.0,0.063,0.025
90446737,[],964.0,INCLUDED,65.0,1.614,0.145
90450144,[],24.0,INCLUDED,2.0,2.739,2.739
90468624,[],101.0,INCLUDED,7.0,0.549,0.031
90670870,[],400.0,INCLUDED,27.0,2.252,2.175
90689174,[],164.0,INCLUDED,11.0,0.511,0.058
90724112,[],224.0,INCLUDED,15.0,0.155,0.155
90765592,[],451.0,INCLUDED,31.0,3.226,0.431
90783770,[],634.0,INCLUDED,43.0,3.078,0.564
90900649,[],236.0,INCLUDED,16.0,1.827,0.378
90927563,[],18.0,INCLUDED,2.0,0.57,0.097
90928037,[],207.0,INCLUDED,14.0,0.572,0.117
90964953,[],645.0,INCLUDED,43.0,4.057,0.334
90967915,[],56.0,INCLUDED,4.0,0.941,0.035
90970712,[],275.0,INCLUDED,19.0,0.851,0.593
91022147,[],48.0,INCLUDED,4.0,0.183,0.055
91024794,[],154.0,INCLUDED,11.0,0.594,0.411
91045329,[],603.0,INCLUDED,41.0,1.228,0.009
91124606,[],98.0,INCLUDED,7.0,0.627,0.109
91162669,[],276.0,INCLUDED,19.0,0.59,0.079
91200522,[],756.0,INCLUDED,51.0,1.665,0.338
91202282,[],1408.0,INCLUDED,94.0,2.588,0.083
91206718,[],510.0,INCLUDED,34.0,1.154,0.283
91227583,[],32.0,INCLUDED,3.0,0.092,0.073
91267065,[],33.0,INCLUDED,3.0,1.838,1.35
91267485,[],993.0,INCLUDED,67.0,2.351,0.593
91276550,[],1070.0,INCLUDED,72.0,4.007,1.505
91352434,[],1839.0,INCLUDED,123.0,5.129,0.331
91356501,[],94.0,INCLUDED,7.0,1.346,0.266
91397685,[],94.0,INCLUDED,7.0,0.885,0.019
91431248,[],153.0,INCLUDED,11.0,1.312,0.046
91448019,[],172.0,INCLUDED,12.0,0.556,0.243
91488864,[],836.0,INCLUDED,56.0,2.289,0.113
91515698,[],995.0,INCLUDED,67.0,5.34,0.113
91531357,[],1180.0,INCLUDED,79.0,3.06,0.453
91585973,[],164.0,INCLUDED,11.0,0.832,0.023
91596159,[],875.0,INCLUDED,59.0,2.49,0.034
91645065,[],1533.0,INCLUDED,103.0,4.345,0.052
91655142,[],1235.0,INCLUDED,83.0,6.681,0.681
91740834,[],207.0,INCLUDED,14.0,0.819,0.122
91776198,['2026-04-20T15:00:00+00:00'],215.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
91797166,[],268.0,INCLUDED,18.0,3.308,0.205
91806444,[],832.0,INCLUDED,56.0,2.185,1.089
91824729,[],464.0,INCLUDED,31.0,0.905,0.153
91863976,[],1180.0,INCLUDED,79.0,1.23,0.387
91873683,[],701.0,INCLUDED,47.0,3.831,0.142
91919177,[],570.0,INCLUDED,38.0,2.956,0.224
91954421,[],609.0,INCLUDED,41.0,0.32,0.107
91973017,[],389.0,INCLUDED,26.0,0.631,0.017
91984519,[],386.0,INCLUDED,26.0,0.881,0.1
92024986,[],2718.0,INCLUDED,182.0,6.77,0.575
92029007,[],1274.0,INCLUDED,85.0,3.48,0.134
92067522,[],630.0,INCLUDED,42.0,0.861,0.172
92099847,[],149.0,INCLUDED,10.0,0.458,0.009
92117158,[],207.0,INCLUDED,14.0,0.91,0.299
92125361,[],333.0,INCLUDED,23.0,2.481,0.156
92181621,[],298.0,INCLUDED,20.0,0.434,0.006
92218142,[],3359.0,INCLUDED,224.0,3.624,0.07
92274667,[],100.0,INCLUDED,7.0,0.452,0.2
92286476,[],151.0,INCLUDED,11.0,1.273,0.155
92319804,[],93.0,INCLUDED,7.0,0.546,0.125
92331897,[],931.0,EXCLUDED_STALE_QUOTES,,12.688,
92342438,[],584.0,INCLUDED,39.0,4.052,1.089
92396538,[],132.0,INCLUDED,9.0,0.859,0.859
92408965,[],285.0,INCLUDED,19.0,2.739,0.331
92461110,[],662.0,INCLUDED,45.0,4.183,0.372
92535886,[],516.0,INCLUDED,35.0,0.773,0.068
92561346,[],519.0,INCLUDED,35.0,1.366,0.02
92611594,[],394.0,INCLUDED,27.0,3.916,0.042
92626347,[],468.0,INCLUDED,32.0,0.766,0.213
92649888,[],2884.0,INCLUDED,193.0,7.175,0.064
