scenario,replicate,planted_events,observed_events,test_events,clock_test_bits,clock_test_bits_per_event,clock_mdl_net_bits,selected_direction_horizon,selected_direction_polarity,direction_test_accuracy,direction_test_n,direction_mdl_net_bits,clock_family_recovered,clock_mdl_recovered,contrarian_family_recovered,exact_horizon_recovered
continuous_low_noise,76,420,420,100,44.7595568445266,0.447595568445266,-34.29876005690333,5,contrarian,0.94,100,64.25550808455236,True,False,True,True
continuous_low_noise,77,420,420,94,39.25156968419166,0.4175698902573581,-40.06134778100357,5,contrarian,0.9361702127659575,94,58.80840538671119,True,False,True,True
continuous_low_noise,78,420,420,116,48.98622082537638,0.4222950071153136,-29.36909055233768,5,contrarian,0.9137931034482759,116,63.853053697774385,True,False,True,True
continuous_low_noise,79,420,420,113,36.53188847383091,0.3232910484409815,-41.95801255718579,5,contrarian,0.8928571428571429,112,53.98141771567471,True,False,True,True
continuous_low_noise,80,420,420,115,55.93292560411035,0.4863732661226987,-22.467396004167014,5,contrarian,0.8938053097345132,113,54.81868701366891,True,False,True,True
continuous_low_noise,81,420,420,118,54.05427523470181,0.45808707826018485,-24.21056978888644,5,contrarian,0.8728813559322034,118,50.16103340930201,True,False,True,True
continuous_low_noise,82,420,420,105,53.54845621178849,0.5099852972551285,-25.29401996289066,5,contrarian,0.9047619047619048,105,54.35978438537079,True,False,True,True
continuous_low_noise,83,420,420,99,30.094184766726105,0.3039816643103647,-49.00689536093577,5,contrarian,0.8888888888888888,99,46.17742485721106,True,False,True,True
continuous_low_noise,84,420,420,105,57.7137442072353,0.5496547067355743,-21.128731967443848,5,contrarian,0.9423076923076923,104,67.90560904094376,True,False,True,True
continuous_low_noise,85,420,420,111,50.92626312653856,0.45879516330214914,-27.652635638553008,5,contrarian,0.9459459459459459,111,74.32539319440805,True,False,True,True
continuous_low_noise,86,420,420,95,30.274535584592368,0.3186793219430776,-48.99627554060788,5,contrarian,0.8936170212765957,94,45.04259240459156,True,False,True,True
continuous_low_noise,87,420,420,106,38.754189851174814,0.3656055646337247,-40.044707263295635,5,contrarian,0.9238095238095239,105,61.195766337208525,True,False,True,True
continuous_low_noise,88,420,420,89,29.809339571922433,0.3349363996845217,-49.71219079274613,5,contrarian,0.9101123595505618,89,47.187574877645204,True,False,True,True
continuous_low_noise,89,420,420,110,49.50231800911394,0.45002107281012677,-29.120863840991326,5,contrarian,0.9,110,55.41048470517908,True,False,True,True
continuous_low_noise,90,420,420,107,55.293444455745714,0.5167611631378104,-23.461734590114162,5,contrarian,0.897196261682243,107,52.873180329318544,True,False,True,True
continuous_low_noise,91,420,420,108,30.624076860981944,0.2835562672313143,-48.08724421820942,5,contrarian,0.9444444444444444,108,71.56930965176488,True,False,True,True
continuous_low_noise,92,420,420,116,23.32738794754931,0.201098171961632,-55.02792343016475,5,contrarian,0.9051724137931034,116,60.52373172515477,True,False,True,True
continuous_low_noise,93,420,420,111,38.49999602582517,0.34684681104347,-40.0789027392664,5,contrarian,0.8918918918918919,111,53.14569423167347,True,False,True,True
continuous_low_noise,94,420,420,89,34.59458311566299,0.38870318107486507,-44.92694724900557,5,contrarian,0.9101123595505618,89,47.187574877645204,True,False,True,True
continuous_low_noise,95,420,420,102,29.37277447836083,0.2879683772388317,-49.599613596840534,5,contrarian,0.8921568627450981,102,48.6756751819991,True,False,True,True
continuous_low_noise,96,420,420,91,29.967279032226756,0.3293107585958984,-49.47118681825803,5,contrarian,0.8901098901098901,91,42.537818924446846,True,False,True,True
