feature,percentile,threshold,direction,precision,recall,lift,TP,FP,FN
rsi_14,90,65.11743493415138,above,0.0009692089763661879,0.09263657957222651,0.9263580038447582,39,40200,382
stochastic_d_14,80,81.35174463206943,above,0.0009692089763661997,0.18527315914445303,0.9263557016900815,78,80400,343
return_30,10,-0.0022288414222951802,below,0.0009692330632734985,0.09263657957222651,0.9263441904237117,39,40199,382
candle_body_abs,90,2.7899999999999636,below,0.0009688585135336535,0.8337292161500387,0.9260552542966635,351,361931,70
distance_ema_9,30,-0.00017072076188990454,above,0.0009656313347368088,0.6460807600934773,0.9229706492283002,272,281409,149
return_15,40,-0.000223479501342716,above,0.000965075052188604,0.5534441805212508,0.9224045576895091,233,241199,188
candle_body,60,0.26999999999952706,below,0.0009643640577790615,0.5534441805212508,0.9217593593763994,233,241377,188
return_1,90,0.0004256339477794805,below,0.0009636624696266817,0.828978622325822,0.9210864777495916,349,361811,72
return_1,20,-0.00023687060238437583,above,0.0009598658051689831,0.733966745841487,0.917457555380234,309,321611,112
return_5,20,-0.0005265984408511226,above,0.0009598747503238383,0.733966745841487,0.9174569853926133,309,321608,112
candle_body,90,1.8699999999998909,below,0.0009575689339249814,0.8242280285016051,0.91526443771264,347,362029,74
return_3,80,0.00042267916543310414,below,0.0009567653874589151,0.7315914489293787,0.9144895733822263,308,321610,113
ema_20,80,4700.637700585066,below,0.0009536501191286031,0.7292161520172703,0.9115187524736615,307,321614,114
return_1,40,-6.088840597497923e-05,above,0.0009526176275679219,0.5463182897849256,0.9105296126750966,230,241210,191
atr_14,60,2.208483368886324,below,0.0009526452473356959,0.5463182897849256,0.9105288584299994,230,241203,191
distance_ema_9,40,-7.425736907829531e-05,above,0.000952613682017549,0.5463182897849256,0.9105281041808173,230,241211,191
return_5,40,-0.0001361060519899926,above,0.0009526255187667188,0.5463182897849256,0.9105281041728875,230,241208,191
macd_hist,30,-0.20515813436363128,above,0.0009514308739318558,0.6365795724450438,0.9093975514455311,268,281413,153
sma_100,80,4700.529390000001,below,0.0009507800435618802,0.7268408551051619,0.9085518944721789,306,321535,115
macd_hist,20,-0.35944489723352024,above,0.0009505437669490312,0.7268408551051619,0.9085496360160927,306,321615,115
ema_100,80,4700.295970890827,below,0.0009505437669490312,0.7268408551051619,0.9085496360160927,306,321615,115
candle_body,20,-1.019999999999527,above,0.0009503430241405733,0.7268408551051619,0.9083577618363875,306,321683,115
sma_200,80,4699.87806,below,0.0009479085408113446,0.7244655581930536,0.90558277126889,305,321456,116
sma_50,80,4700.777324000001,below,0.0009475551523699723,0.7244655581930536,0.9055827703166849,305,321576,116
bollinger_lower_20,80,4694.729087059557,below,0.0009474845062984392,0.7244655581930536,0.9055827701263003,305,321600,116
sma_20,80,4700.56999,below,0.0009474845062984392,0.7244655581930536,0.9055827701263003,305,321600,116
sma_9,80,4700.696777777778,below,0.0009474580167373865,0.7244655581930536,0.9055822074324609,305,321609,116
ema_50,80,4700.526265475745,below,0.0009474374147694592,0.7244655581930536,0.9055805195585238,305,321616,116
ema_9,80,4700.624012374764,below,0.0009474374147694592,0.7244655581930536,0.9055805195585238,305,321616,116
bollinger_upper_20,80,4706.844046083637,below,0.0009443779997204115,0.7220902612809452,0.9026136462898205,304,321601,117
return_1,30,-0.00013522146043980497,above,0.0009443339960238536,0.631828978620827,0.9026119638692267,266,281414,155
ema_200,80,4700.459578941301,below,0.0009443310625898871,0.7220902612809452,0.9026114031009548,304,321617,117
return_3,40,-0.00010454159364523536,above,0.0009443379072974915,0.5415676959607089,0.9026112161799238,228,241211,193
return_15,90,0.0016348774046052172,above,0.0009443574641516703,0.09026128266011815,0.9026029913903248,38,40201,383
candle_body,40,-0.25,above,0.0009359146909617935,0.5368171021364921,0.8945668588672638,226,241249,195
return_5,30,-0.00030170112573446595,above,0.0009301433911891958,0.6223277909723935,0.889039482886071,262,281415,159
return_1,70,0.00013938942674842633,below,0.0009301334848054498,0.6223277909723935,0.8890388516305917,262,281418,159
candle_body,70,0.5900000000001455,below,0.0009278047502186683,0.6223277909723935,0.8868152076898241,262,282125,159
return_1,80,0.0002422024329566509,below,0.0009225894632206731,0.7054631828961866,0.8818281357538172,297,321623,124
stochastic_d_14,70,72.79085950786649,above,0.0009195135690380652,0.2636579572440293,0.8788575614037346,111,120605,310
return_3,30,-0.00023279859958259542,above,0.0009159394769914551,0.61282660332396,0.8754676042185146,258,281420,163
candle_body,30,-0.5700000000001637,above,0.0009118907718073146,0.6104513064118516,0.8716042938992773,257,281575,164
bollinger_bandwidth_20,50,0.0018560642225530864,below,0.0009095834306703536,0.4346793349158321,0.8693578389217395,183,201008,238
atr_ratio,50,0.0004438039709989584,below,0.0009095698678887,0.4346793349158321,0.8693578389093496,183,201011,238
candle_body,80,1.0399999999999636,below,0.0009027398620141929,0.6912114014235363,0.8628576627068573,291,322061,130
bollinger_lower_20,70,4551.8271413900175,below,0.0008946734974278105,0.5985748218513098,0.8551072854209444,252,281415,169
stochastic_d_14,90,88.94788057618385,above,0.000894654439722635,0.0855106888359014,0.855097570790834,36,40203,385
ema_9_20_diff,90,1.8600940547353275,above,0.000894609974901198,0.0855106888359014,0.8550869463714362,36,40205,385
macd,90,2.076753377183195,above,0.000894609974901198,0.0855106888359014,0.8550869463714362,36,40205,385
sma_9,70,4557.853933333333,below,0.0008910978965119343,0.5961995249392015,0.8517130953628012,251,281424,170
ema_9,70,4557.820101601158,below,0.0008910789155108052,0.5961995249392015,0.8517118858687623,251,281430,170
ema_50,70,4558.083204948832,below,0.0008910789155108052,0.5961995249392015,0.8517118858687623,251,281430,170
sma_100,70,4558.1373379999995,below,0.0008877494131976347,0.5938242280270931,0.8483207200644004,250,281361,171
sma_50,70,4557.96054,below,0.0008876390930458772,0.5938242280270931,0.848320719813911,250,281396,171
ema_100,70,4557.941122669734,below,0.0008875288003095669,0.5938242280270931,0.8483186114230701,250,281431,171
sma_200,70,4558.1567085,below,0.0008844182552452365,0.5914489311149846,0.8449274376832289,249,281292,172
sma_20,70,4557.818329999999,below,0.0008840226224584318,0.5914489311149846,0.8449274367849807,249,281418,172
ema_20,70,4557.9498371653835,below,0.0008839786851083287,0.5914489311149846,0.8449253369773778,249,281432,172
bollinger_upper_20,70,4564.297596387893,below,0.0008804723308019723,0.5890736342028763,0.8415341539063262,248,281419,173
ema_200,70,4558.1684212525415,below,0.0008804285699070904,0.5890736342028763,0.8415320625316856,248,281433,173
candle_body_abs,80,1.8500000000003638,below,0.0008782710164357687,0.6722090261266693,0.8394698277464884,283,321941,138
atr_14,50,1.9355977811988252,below,0.0008648369235663049,0.41330166270685675,0.8266025353564308,174,201020,247
