model,fold,rule_type,rule_or_feature,coefficient,threshold,oos_f1,oos_precision
E2 events + eligibility state,4,L1 logistic feature,event_compression_to_expansion,-0.008328568863563148,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_higher_low_break,0.4117389018139943,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_lower_high_break,0.2686897848816748,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_false_break_high,-0.032395360922371774,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_false_break_low,0.016161989206397435,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_impulse_pullback_cont_up,0.048017268975702194,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_impulse_pullback_cont_down,-0.049353397038654004,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_immediate_reversal,-0.3280971694605207,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_range_expansion_strength,-0.0278463414260255,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_body_ratio,-0.1362932361292769,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_bar_direction,-0.025563203787237268,0.9200288878015485,0.0,0.0
